
 Lista de Imóveis da Caixa;;Data de geração:;26/07/2024;;;;;;;
 8787707538614 ;SP ;ITAPETININGA ;RESIDENCIAL RESERVA DA MATA ;RUA JANE VIEIRA DA SILVA CASTRO ANTIGA RUA 06, N. 97, LT34 QDZ2 ;146.000,00;146.000,00;0.00;Casa, 0.00 de área total, 45.47 de área privativa, 168.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707538614
 8787707613829 ;SP ;ITAPETININGA ;RESIDENCIAL RESERVA DA MATA ;RUA JULIANA APARECIDA ESTEVAM, N. SN, LT 11 QD Z1 ;153.000,00;153.000,00;0.00;Casa, 0.00 de área total, 45.47 de área privativa, 168.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707613829
 8787711503480 ;SP ;ITAPETININGA ;RESIDENCIAL RESERVA DA MATA ;RUA ELI DAMARES FORTUNATO, N. 55, ANTIGA RUA 09 LT 31 ;175.000,00;175.000,00;0.00;Casa, 0.00 de área total, 45.47 de área privativa, 168.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711503480
 8787715533758 ;SP ;ITAPETININGA ;LOTEAMENTO GRAMADO II ;RUA CAPITAO JOAO CESARINO BARRETO ANTIGA ESTRADA M, N. 260, CS 87 ;178.175,00;174.600,00;0.00;Casa, 0.00 de área total, 42.44 de área privativa, 105.52 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715533758
 8444410684733 ;SP ;ITAPEVI ;JARDIM ROSEMARY ;RUA SERRA DO ARACAI, N. 68, Apto 404, LT 06 E 07, QD 65 ;120.802,00;187.000,00;35.40;Apartamento, 0.00 de área total, 51.18 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410684733
 1444404212312 ;SP ;ITAPEVI ;JARDIM SAO CARLOS ;RUA BAGRE, N. 248, QD11, LT30-B ;155.040,00;240.000,00;35.40;Terreno, 0.00 de área total, 0.00 de área privativa, 274.20 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404212312
 8787703386127 ;SP ;ITAPEVI ;JARDIM BELA VISTA ;AVENIDA LUIZ REVIGLIO, N. 215, Apto 254, BL A2 ;147.750,00;197.000,00;25.00;Apartamento, 0.00 de área total, 42.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703386127
 1787700427010 ;SP ;ITAPEVI ;JARDIM BRIQUET ;AVNIDA A LUIZ REVIGLIO, N. 215, Apto 117, BL A1 ;161.368,50;215.158,00;25.00;Apartamento, 0.00 de área total, 44.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700427010
 8196900573036 ;SP ;ITAPEVI ;VILA SANTA RITA ;RUA CEZAR BERTOZZI, N. 140, LT06A QD08 ;240.000,00;240.000,00;0.00;Casa, 0.00 de área total, 50.30 de área privativa, 127.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8196900573036
 8555534806433 ;SP ;ITAPEVI ;DAS PITAS ;AVENIDA HORTENCIA, N. 59, CASA 59 ;270.000,00;270.000,00;0.00;Casa, 0.00 de área total, 58.52 de área privativa, 62.15 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534806433
 8555536119999 ;SP ;ITAPEVI ;VILA APARECIDA ;RUA JOAO VAZ, N. 105, Apto 6, PAV TIPO 3 TORRE 02 ;250.045,34;245.000,00;0.00;Apartamento, 0.00 de área total, 55.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536119999
 1444407244584 ;SP ;ITAPEVI ;VILA SANTA RITA ;RUA  PRAIA DO CUMBUCO, N. 14, LT 14 QD B ;249.151,00;243.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1430.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407244584
 1444418662412 ;SP ;ITAPEVI ;PARQUE SUBURBANO ;AVENIDA DOS BRASILEIROS, N. 835, Apto 21, . ;218.018,78;185.000,00;0.00;Apartamento, 0.00 de área total, 50.80 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418662412
 8444412724716 ;SP ;ITAPIRA ;PRADOS ;RUA GUERINO BAREL, N. 142, LT 18 QD A ;200.000,00;200.000,00;0.00;Casa, 0.00 de área total, 56.67 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412724716
 8555509070690 ;SP ;ITAPIRA ;VILA VIEIRA ;RUA ESTADOS UNIDOS, N. 164, LOTE 15 QUADRA B ;208.000,00;208.000,00;0.00;Casa, 0.00 de área total, 98.20 de área privativa, 220.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509070690
 8030858388478 ;SP ;ITAPIRA ;PARQUE RESIDENCIAL BRAZ CAVENAGHI ;RUA WILSON PEREIRA DE CAMARGO, N. 63, . ;177.000,00;177.000,00;0.00;Casa, 0.00 de área total, 76.97 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8030858388478
 1444417654548 ;SP ;ITAPOLIS ;PORTAL DAS LARANJEIR ;ALAMEDA PERA COROA, N. 160, LT 76 QD F ;271.000,00;271.000,00;0.00;Casa, 0.00 de área total, 122.97 de área privativa, 267.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417654548
 8555539358862 ;SP ;ITAPOLIS ;Centro ;RUA  CARMELINDO MACEDO, N. 428, LT 06  QD 16 ;110.000,00;110.000,00;0.00;Casa, 0.00 de área total, 44.55 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539358862
 8787709466467 ;SP ;ITAPOLIS ;Centro ;AVENIDA  TEREZINHA SCACHETTI LUCILIO, N. 320, LT 10 QD M ;140.000,00;140.000,00;0.00;Casa, 0.00 de área total, 49.65 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709466467
 8787713563595 ;SP ;ITAPOLIS ;NAO ;RUA CARMELINDO MACEDO, N. 174, LT 02 QD 10820 ;153.000,00;153.000,00;0.00;Casa, 0.00 de área total, 43.92 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713563595
 8444427492921 ;SP ;ITAPUI ;JARDIM MARIA LUIZA ;R VICENTE SPIRITO, N. 366, CS ;150.000,00;150.000,00;0.00;Casa, 0.00 de área total, 41.15 de área privativa, 211.20 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427492921
 8787708609779 ;SP ;ITAQUAQUECETUBA ;CHACARA HOLIDAY ;RUA DOS PERIQUITOS, N. 49, Apto 402, BL 02A ;93.000,00;155.000,00;40.00;Apartamento, 0.00 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708609779
 8444400605296 ;SP ;ITAQUAQUECETUBA ;ARACARE ;RUA R PIAUI, N. 891, APTO.02,, N. 891, Apto 2, EDIF.05 ;141.876,00;210.000,00;32.44;Apartamento, 81.55 de área total, 48.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400605296
 8444418525316 ;SP ;ITAQUAQUECETUBA ;VILA MONTE BELO ;RUA FERRAZ DE VASCONCELOS, N. 889, Apto 17 ;124.600,00;178.000,00;30.00;Apartamento, 0.00 de área total, 54.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418525316
 1444410598260 ;SP ;ITAQUAQUECETUBA ;PARQUE RESIDENCIAL SCAFFID II ;RUA CORONEL JOAO SA, N. 109, LT 20, QD 50 ;178.500,00;255.000,00;30.00;Casa, 0.00 de área total, 89.42 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 4 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410598260
 1444404419766 ;SP ;ITAQUAQUECETUBA ;JARDIM LUANA ;RUA DOS FARMACEUTICOS, N. 454, LT 18-C, QD D ;177.750,00;237.000,00;25.00;Casa, 0.00 de área total, 75.82 de área privativa, 150.74 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404419766
 1444403187462 ;SP ;ITAQUAQUECETUBA ;VILA MIRANDA ;RUA PIAUI, N. 919, Apto 24, ED 2 ;164.251,03;169.000,00;2.82;Apartamento, 0.00 de área total, 48.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403187462
 1555538375420 ;SP ;ITAQUAQUECETUBA ;VILA CELESTE ;RUA NEPTUNO, N. 222, Apto 24, BL 8 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 38.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555538375420
 8555538435472 ;SP ;ITAQUAQUECETUBA ;VILA CELESTE ;RUA NEPTUNO, N. 222, Apto 1, BL 02 ;198.000,00;198.000,00;0.00;Apartamento, 0.00 de área total, 38.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538435472
 8787702157248 ;SP ;ITAQUAQUECETUBA ;PINHEIRINHO ;RUA DIRCE, N. 130, Apto 504, 4 PAV BL05 ;170.000,00;170.000,00;0.00;Apartamento, 0.00 de área total, 42.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702157248
 8787709124965 ;SP ;ITAQUAQUECETUBA ;VILA MONTE BELO ;RUA MARCELINO FERNANDEZ, N. 680, Apto 105, BL 01 ;199.238,55;193.000,00;0.00;Apartamento, 0.00 de área total, 45.57 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709124965
 8555538045305 ;SP ;ITAQUAQUECETUBA ;VILA CELESTE ;RUA NEPTUNO, N. 222, Apto 22, BL 03 ;153.576,88;138.000,00;0.00;Apartamento, 0.00 de área total, 38.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538045305
 8787703116731 ;SP ;ITAQUAQUECETUBA ;JARDIM ARACARE ;RUA CAMBE, N. 150, Apto 2, BL 03 ;195.268,77;175.000,00;0.00;Apartamento, 0.00 de área total, 50.23 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703116731
 8444415042500 ;SP ;ITAQUAQUECETUBA ;VILA MIRANDA ;RUA PIAUI, N. 385, Apto 31, BL MOSS ;213.174,43;171.000,00;0.00;Apartamento, 0.00 de área total, 51.86 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415042500
 8555538587051 ;SP ;ITATIBA ;LOTEAMENTO SANTO ANTONIO ;RUA JOAQUIM AUGUSTO SANFINS, N. 555, Apto 14, BL 2  TIPO B ;127.552,63;210.000,00;39.27;Apartamento, 0.00 de área total, 45.91 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538587051
 8555538221367 ;SP ;ITATIBA ;JARDIM ESTER ;RUA JOSE SOAVE, N. 433, Apto 24, BL C ;146.250,00;225.000,00;35.00;Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538221367
 8555537406681 ;SP ;ITATIBA ;JARDIM ESTER ;RUA JOSE SOAVE, N. 433, Apto 3, BL 1 PAVIMENTO TERREO ;124.106,94;185.000,00;32.92;Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537406681
 1444413843990 ;SP ;ITATIBA ;VILLAGGIO FOSUZZI ;RUA ELIETE APARECIDA SANFINS FUSUSSI, N. 75, LT 10 QD 09 ;295.472,64;420.000,00;29.65;Casa, 0.00 de área total, 102.87 de área privativa, 250.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413843990
 8555534091841 ;SP ;ITATIBA ;PARQUE SAO GABRIEL ;RUA EMILIO JAFET FILHO, N. 630, Apto 506-, BL B  MIRAMAS LT B ;151.500,00;202.000,00;25.00;Apartamento, 0.00 de área total, 49.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534091841
 1555531155301 ;SP ;ITATIBA ;BAIRRO DA PONTE ;AVENIDA IDALINA TESCAROLLO SANFINS, N. 431, Apto 65, GLEBA 3A7 ;185.082,27;200.000,00;7.46;Apartamento, 0.00 de área total, 53.64 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531155301
 8555538680078 ;SP ;ITATIBA ;DO ENGENHO ;RUA JOSE SOAVE, N. 433, Apto 21, BL 16 ;264.067,14;264.067,14;0.00;Apartamento, 0.00 de área total, 55.50 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538680078
 1444416534506 ;SP ;ITATIBA ;VILA MUTTON ;RUA ANTONIO MUTTON, N. SN, LT 8 QD E ;230.000,00;230.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 312.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416534506
 1444400101907 ;SP ;ITU ;VILA IANNI ;RUA ARTHURO IANNI, N. 150, LT 04 QD 20 ;360.355,00;360.355,00;0.00;Casa, 0.00 de área total, 69.97 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400101907
 8555538033390 ;SP ;ITU ;PROGRESSO ;RUA DOMINGOS PIUNTI, N. 451, Apto 14, BL 01 ;253.000,00;253.000,00;0.00;Apartamento, 0.00 de área total, 47.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538033390
 8444420419730 ;SP ;ITU ;JARDIM RESIDENCIAL ITAIM ;RUA ALEXANDRE ANDREAZZA, N. 400, CASA 02 ;183.000,00;183.000,00;0.00;Casa, 0.00 de área total, 40.99 de área privativa, 151.12 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420419730
 8787701772623 ;SP ;ITU ;JARDIM RESIDENCIAL ITAIM ;RUA ALEXANDRE ANDREAZZA, N. 400, Apto 1, BL 47 ;154.133,00;152.000,00;0.00;Apartamento, 0.00 de área total, 40.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701772623
 8444420251716 ;SP ;ITU ;MATADOURO ;RUA VITORIO FERNANDO LEIS, N. 243, LT 17 QD 02 ;154.214,20;150.000,00;0.00;Casa, 0.00 de área total, 28.00 de área privativa, 150.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420251716
 8555538461198 ;SP ;ITU ;PARQUE NOSSA SENHORA DA CANDELARIA ;RUA SUELY APARECIDA COSTA, N. 400, Apto 101, BL 16 VG 187 ;176.318,67;151.000,00;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538461198
 1444419118163 ;SP ;ITU ;KURUMIN ;RUA APPALOOSA, N. SN, LT 8 QD A ;513.073,06;430.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1006.31 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419118163
 1444411651768 ;SP ;ITUPEVA ;HORIZONTE AZUL - VILLAGE AMBIENTAL ;ALAMEDA DOS MANACAS, N. 872 ;828.947,20;1.283.200,00;35.40;Casa, 333.65 de área total, 333.65 de área privativa, 1040.80 de área do terreno,  4 qto(s), varanda, a.serv, WC, 2 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411651768
 8787708069804 ;SP ;ITUPEVA ;RESIDENCIAL IBIARAM ;ESTRADA MUNICIPAL BENTO PEREIRA DE TOLEDO, N. 1120, Apto 23, BL K ;172.500,00;230.000,00;25.00;Apartamento, 0.00 de área total, 45.25 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708069804
 8787707093310 ;SP ;ITUPEVA ;MONT SERRAT ;ESTRADA, N. 551, Apto 401, BL 10 ;373.900,00;373.900,00;0.00;Apartamento, 0.00 de área total, 45.91 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707093310
 8787705102312 ;SP ;ITUPEVA ;MONTE SERRAT ;ESTRADA MUNICIPAL VEREADOR WALDOMIRO FREGNHAMI, N. 551, Apto 14, BL08 TPB AREA 01 ;373.900,00;373.900,00;0.00;Apartamento, 0.00 de área total, 45.91 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705102312
 8787707193471 ;SP ;ITUPEVA ;MONTE SERRAT ;ESTRADA VEREADOR WALDOMIRO FREGNHAMI, N. 551, Apto 402, BL 09 ;185.000,00;185.000,00;0.00;Apartamento, 0.00 de área total, 43.88 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707193471
 8444424843391 ;SP ;JABOTICABAL ;PARQUE PRIMEIRO DE MAIO ;AVENIDA MOYSES DE PAULA, N. 60, LT 27 QD 21 ;106.248,20;178.000,00;40.31;Casa, 0.00 de área total, 131.38 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424843391
 8787705007000 ;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 34, TORRE 02 BLOCO B ;105.000,00;150.000,00;30.00;Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705007000
 8787705180542 ;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 34, 3 PAV TORRE 02 BL C ;155.000,00;155.000,00;0.00;Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705180542
 8787705318218 ;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 21, BL B T 04 ;145.000,00;145.000,00;0.00;Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705318218
 8444423114809 ;SP ;JABOTICABAL ;JARDIM MARIANA ;RUA ARMANDA CORREIA GUIMARAES, N. SN, LT 2 QD 3 ;147.465,11;145.000,00;0.00;Casa, 0.00 de área total, 50.40 de área privativa, 200.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423114809
 8787709430217 ;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 23, BL B T 02 ;144.155,08;140.000,00;0.00;Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709430217
